Model,Capacity,range(km),maintenance cost per hour,Price(USD)
Cessna 172,4,1285,2212.8,211588.11
Boeing 737,162,5700,4406.26,116071281.1
Boeing 777,396,15600,864.14,629312398.7
Boeing 737,162,5700,1280.86,63638561.85
Airbus A350,350,14800,3384.37,505888699.2
Boeing 737,162,5700,1096.36,96217375
Airbus A350,350,14800,3228.14,402763288.6
Boeing 777,396,15600,1286.77,639421066.4
Boeing 737,162,5700,2153.9,61522777.42
Cessna 172,4,1285,616.15,404034.59
Cessna 172,4,1285,4846.2,243022.69
Cessna 172,4,1285,1903.17,309804.27
Airbus A350,350,14800,3383.72,572444936.8
Airbus A350,350,14800,3288.15,364369669.7
Boeing 737,162,5700,761.74,140006077.6
Cessna 172,4,1285,760.01,200592.9
Airbus A350,350,14800,3614.73,361055054.5
Boeing 777,396,15600,2792.4,597531776.7
Airbus A350,350,14800,1878.14,416646225.4
Airbus A350,350,14800,2871.69,347139378.8
Boeing 777,396,15600,2154.92,466373471
Bombardier CRJ200,50,3000,4223.92,16840718.26
Boeing 737,162,5700,586.37,47017041.87
Airbus A350,350,14800,3921.3,317254182.1
Bombardier CRJ200,50,3000,554.54,14755688.52
Cessna 172,4,1285,4891.43,213374.23
Cessna 172,4,1285,993.81,379815.98
Bombardier CRJ200,50,3000,2544.7,12042029.77
Boeing 777,396,15600,1175.22,706532681.3
Bombardier CRJ200,50,3000,3818.11,10418429.37
Cessna 172,4,1285,2567.51,186388.14
Boeing 737,162,5700,4514.38,101847749.4
Airbus A320,180,6300,3596.61,86509631.52
Airbus A350,350,14800,1646.02,452636644.3
Boeing 777,396,15600,3467.09,627477879.2
Boeing 737,162,5700,3365.01,63662822.45
Airbus A320,180,6300,1175.76,98541524.8
Cessna 172,4,1285,2805,378845.75
Bombardier CRJ200,50,3000,820.66,20660642.47
Cessna 172,4,1285,4804.26,362429.72
Boeing 777,396,15600,2073.66,358951291.3
Boeing 777,396,15600,3476.17,462511005.5
Boeing 777,396,15600,1692.71,426165003.2
Airbus A320,180,6300,869.77,148205458.7
Airbus A350,350,14800,3310.99,344139770.1
Bombardier CRJ200,50,3000,1425.59,25716133.52
Boeing 737,162,5700,3397.57,107183272.6
Airbus A350,350,14800,688.78,459831575.9
Boeing 777,396,15600,4909.87,434469942
Boeing 777,396,15600,3120.9,452501012.1
Cessna 172,4,1285,1076.43,236621.03
Airbus A320,180,6300,4676.38,70173636.35
Boeing 737,162,5700,2477.32,101962560.3
Boeing 777,396,15600,4743.84,544297853
Airbus A350,350,14800,4491.16,550255631.8
Airbus A350,350,14800,1786.58,483244453.4
Airbus A320,180,6300,3897.69,125697266
Boeing 777,396,15600,4288.99,576552533.7
Boeing 777,396,15600,1298.43,888471735
Cessna 172,4,1285,4931.01,337809.04
Bombardier CRJ200,50,3000,4180.03,11740026.01
Airbus A320,180,6300,2776.34,103399541.4
Boeing 737,162,5700,3156.56,74261934.23
Boeing 777,396,15600,1838.97,427532216.4
Boeing 777,396,15600,3363.31,412734925.6
Boeing 737,162,5700,1220.32,62133269.16
Bombardier CRJ200,50,3000,4100.32,15025275.31
Airbus A320,180,6300,2997.88,85547362.76
Bombardier CRJ200,50,3000,2099.23,12611857.72
Cessna 172,4,1285,2994.02,385978.91
Boeing 737,162,5700,4811.33,86494329.35
Boeing 737,162,5700,1971.19,92539754.63
Airbus A350,350,14800,4983.5,358435306.6
Cessna 172,4,1285,2518.75,297164
Airbus A350,350,14800,2261.87,765232183.4
Boeing 777,396,15600,3630.28,336923634.2
Boeing 737,162,5700,4073.89,77189812.92
Cessna 172,4,1285,3146.91,290366.42
Boeing 777,396,15600,3109.93,404918205.5
Boeing 737,162,5700,3022.97,69958397.63
Cessna 172,4,1285,1714.19,289745.64
Boeing 737,162,5700,2742.15,79846064.72
Bombardier CRJ200,50,3000,4032.04,12911054.39
Boeing 777,396,15600,4048.77,352189432.9
Cessna 172,4,1285,1976.87,393978.2
Cessna 172,4,1285,898.7,383828.69
Boeing 777,396,15600,4992.56,490286367.3
Bombardier CRJ200,50,3000,3391.54,13549398.19
Boeing 737,162,5700,1032.51,67153701.02
Airbus A320,180,6300,4279.11,93128628.48
Airbus A320,180,6300,1330.14,173671367.9
Airbus A320,180,6300,2005.3,149393911.6
Airbus A350,350,14800,1844.27,527136285.3
